adivinar,guess,guessed,2
añadir,add,added,2
apreciar,appreciate,appreciated,0
arrastrar,drag,dragged,0
asentir,nod,nodded,0
atreverse,dare,dared,0
avergonzar,embarrass,embarrassed,0
sacudir,shake,shook,2
batir,beat,beaten,0
burlarse (imitar),mock,mocked,1
calcular,calculate,calculated,2
cambiar,change,changed,2
comprobar,check,checked,1
confesar,confess,confessed,0
conocer,know,knew,2
crear,create,created,1
desafiar,challenge,challenged,1
descubrir,discover,discovered,2
deslizar,slide,slid,2
desmayarse,faint,fainted,0
despertar,awaken,awakened,0
destruir,destroy,destroyed,3
dirigir (guiar),direct,directed,0
disculparse,apologize,apologized,0
disfrutar,enjoy,enjoyed,3
dividir,divide,divided,1
escalar,climb,climbed,0
examinar,examine,examined,1
explicar,explain,explained,2
fingir,pretend,pretended,0
golpear,hit,hit,0
hablar en voz baja(susurrar),whisper,whispered,0
ignorar,ignore,ignored,3
insultar,insult,insulted,2
introducirse en un lugar cerrado o estrecho,crawl,crawled,1
lamentar,regret,regretted,0
luchar,fight,fought,2
mentir,lie,lied,1
mirar fijamente,stare,stared,0
moverse lentamente (arrastrase),creep,crept,0
observar,observe,observed,0
ocurrir,happen,happened,1
olvidar,forget,forgot,1
oponerse,resist,resisted,2
organizar,arrange,arranged,1
vagar,wander,wandered,0
pedir prestado,borrow,borrowed,0
pelear,fight,fought,1
perseguir,chase,chased,0
planear,plan,planned,1
preocuparse,worry,worried,1
prohibir,ban,baned,0
sugerir,suggest,suggested,2
proteger,protect,protected,2
quemar,burn,burned,2
rechazar,reject,rejected,0
recordar,remember,remembered,3
reflexionar,reflect,reflected,1
relatar,report,reported,1
requerir,require,required,0
interrumpir,interrupt,interrupted,0
vomitar,vomit,vomited,2
saludar,greet,greeted,0
inundar,flood,flooded,0
evitar,avoid,avoided,0
